L	NEUTRAL_0.5	-4.0_0.0	-4.0_0.1	-4.0_0.3	-4.0_0.5	-3.0_0.0	-3.0_0.1	-3.0_0.3	-3.0_0.5	-2.0_0.0	-2.0_0.1	-2.0_0.3	-2.0_0.5	-1.0_0.0	-1.0_0.1	-1.0_0.3	-1.0_0.5
16000	-138.9526566001003	-137.42994344680923	-136.37946415829023	-133.45950823222233	-131.36965506359363	-127.22912669005585	-124.93433879195817	-122.14757232064713	-121.1333115337577	-121.81755853430231	-118.98366382135062	-122.12199591870767	-137.4773147147684	-128.0672033578382	-208.46934065497152	-1100.2934526406443	-1756.3519134777237
16000	-152.53856782570307	-150.9306173499302	-149.55641571540957	-146.86987192448152	-145.26279734096968	-140.81055762251535	-138.20805810251343	-135.62041367667422	-134.065996419626	-135.3829441325953	-132.3965882990804	-134.29703942884643	-151.5189727250079	-136.7193835240138	-240.17782568257377	-1060.2891324176624	-1725.5713956161806
16000	-152.26142845345925	-150.24739855821193	-148.8188851526185	-146.18053335502492	-144.6874888200077	-140.281913248982	-138.2716284285327	-135.80848216761012	-135.17142204746574	-134.91035809116593	-134.0409949847178	-140.49545131393035	-159.90197439586242	-133.06928793759855	-274.27585948347837	-1159.7659611988756	-1905.6633495280437
16000	-155.55349683259976	-153.7832452090541	-152.1758798653448	-149.56674236882114	-147.98850167301597	-143.65722422567546	-141.44752131168514	-139.8120903266977	-139.29976607110086	-138.40766665645899	-138.97734831806468	-148.25802275072405	-174.21216657612922	-143.89008038024596	-282.96654057143223	-1295.4671393460465	-2068.4104528876696
16000	-137.4031660254676	-135.74490358998392	-134.22780886877635	-131.58263500342505	-129.60097482493356	-125.28401576301825	-122.60313187944165	-119.61424921121116	-118.09892165782027	-119.89169008243414	-114.87878568106218	-112.54560419415193	-118.77666692946595	-117.11974326125352	-192.50748407266386	-949.2590378299701	-1501.5498619681225
16000	-162.4567663013167	-160.57530167817382	-159.135713165965	-156.5612104230452	-155.4743875052666	-151.13377574722904	-148.51977807349212	-147.45358432748304	-146.63632397653026	-146.18677803463848	-147.2852092019133	-162.5502731023361	-184.96407996220816	-161.8823374765303	-246.67381100470314	-1154.445043132802	-1918.0704146263442
16000	-142.64369970981278	-140.8671136705176	-139.28826405720142	-136.96285081102496	-134.74492219830688	-130.63789320134828	-128.1133994116477	-125.66054542437736	-124.93722510643906	-125.18027469039365	-123.34632880542124	-127.90756635814651	-141.76558436892196	-122.16600320407909	-244.86377484451347	-1194.9402486853915	-1904.9109609531406
16000	-186.6197079399542	-184.87215579499377	-184.2669059083453	-181.91800218048974	-180.4542281219134	-176.00587273208185	-173.79994501866264	-172.53015967421362	-171.4516643302868	-171.19422845875587	-171.0174698154738	-186.36453885514774	-218.81680500474118	-188.14744972772456	-317.180421774042	-1234.2435196329154	-1886.8568230477727
16000	-145.90276597707657	-143.7881579675424	-142.46539770355605	-139.747642903503	-137.94928821854597	-133.51964949050833	-130.89435120049512	-128.81107113506195	-127.380060996796	-128.2378970090019	-125.92700560548947	-128.51949806444608	-140.0785207279931	-125.14334499072149	-235.62168332726588	-1125.1386991724003	-1826.0195028997273
16000	-116.54658708246485	-114.6443641342626	-113.37765007067016	-110.66068757561568	-108.74567489228431	-104.52411978089195	-101.92348147149416	-99.66333805518367	-98.53566824366548	-99.10903267695406	-96.88076796277333	-100.31719178748855	-117.91250501963216	-96.69902192966575	-186.66751493160436	-1058.5720019754224	-1787.4088265813855
