L	NEUTRAL_0.5	-4.0_0.0	-4.0_0.1	-4.0_0.3	-4.0_0.5	-3.0_0.0	-3.0_0.1	-3.0_0.3	-3.0_0.5	-2.0_0.0	-2.0_0.1	-2.0_0.3	-2.0_0.5	-1.0_0.0	-1.0_0.1	-1.0_0.3	-1.0_0.5
63000	-827.0459679919312	-823.5477354894156	-822.6543072542148	-824.8136440498756	-835.0514078851913	-890.264243124402	-926.6908024480874	-982.2560103307856	-1032.370778167545	-1107.389814113513	-1196.3387238503146	-1297.6082116416121	-1406.5777145585741	-1261.2284553258683	-1885.3984518490329	-6054.9221815823685	-9176.792682484049
63000	-819.3660448028963	-823.1584896505043	-822.9931621029447	-829.0441813455622	-834.3069787510367	-928.3904019590933	-952.464045767997	-995.7368553415901	-1031.9623561551466	-1109.400269719386	-1166.0733799109823	-1249.0542406222412	-1355.4533507244375	-1240.702220683143	-1781.9383784227282	-5665.304123350067	-8565.844312578545
63000	-914.583706754774	-913.0897986757315	-915.14641345357	-926.728739653114	-929.4236764716416	-1012.225316088018	-1060.8295670153595	-1132.489073007381	-1173.5450057576702	-1262.3101018138075	-1315.5077011056019	-1430.150354739214	-1547.967575931477	-1403.490680274742	-2020.2698687076308	-5895.357549436967	-8817.005355787522
63000	-837.9698383118249	-841.1371677746864	-836.8600260997998	-839.0952064152333	-845.913273739991	-952.9173605900997	-976.9953126385001	-1017.7952658210146	-1039.688390159341	-1148.673355870815	-1220.4016203306362	-1305.06912481843	-1413.6515545489472	-1294.7261511294776	-1853.9915272659157	-5887.13662660058	-8915.048465965088
63000	-873.8182869192502	-878.1158729118191	-872.1454431386129	-877.9463595720205	-875.4489349732668	-965.5478835502383	-1009.7752961472336	-1025.507578316848	-1086.911578111556	-1209.6868538652345	-1267.47699904321	-1353.6123763174246	-1449.7783971141255	-1342.1973051597022	-1886.2795203141377	-5404.195480429694	-8287.111907682603
63000	-900.7735135985773	-899.7472510468126	-898.2276837592569	-904.9271562772444	-908.629569547067	-1004.3568744214889	-1008.7062541310423	-1050.365890801204	-1094.327759571019	-1189.9864213490582	-1245.3409563766486	-1366.8996254956405	-1504.6013435952536	-1347.5890421042802	-2004.3236185219391	-5593.454241945695	-8485.041518816122
63000	-897.7123075463118	-902.2342967256538	-896.1051017166349	-901.2686487301185	-908.172139056303	-978.1958382039709	-1019.6655879118694	-1080.6374169692533	-1135.1173636265291	-1238.45651899532	-1309.4672795373112	-1444.9147292538273	-1538.0884120236626	-1438.107153380298	-1961.5572884443818	-5913.978919837226	-8838.54496371034
63000	-966.9277290062668	-971.2742772067728	-975.7450914735416	-982.0898687060588	-993.0997168738	-1103.4803657023454	-1164.4443362801417	-1179.8552079720976	-1255.4567315343725	-1368.6348358164148	-1440.7661455242549	-1559.8734965582482	-1713.208746986459	-1560.782219450153	-2136.5947393537194	-6130.6974543897295	-9104.443245124892
63000	-1024.1758193737794	-1021.7323128897493	-1028.0440091298542	-1042.3260955448634	-1044.4174358433727	-1157.9770905314726	-1219.088536701489	-1280.1810797756455	-1352.2257607083943	-1442.7928617469047	-1522.9998813004304	-1660.950677048876	-1815.1413149207888	-1659.2729880870902	-2283.979080038727	-6224.870559026489	-9274.233765978724
63000	-909.6851722235989	-907.0628740128317	-918.8815906449303	-918.8783565283542	-924.3800933967543	-1029.8048196924562	-1060.7831526075586	-1115.7263553647642	-1184.8283398132835	-1262.516636103962	-1327.4543914439776	-1424.4919040940774	-1560.149283661517	-1389.563837899963	-2053.5612276851775	-6049.052054592953	-9205.067311097171
63000	-835.0158421158635	-835.2109373412554	-834.0180562707003	-837.9404433548257	-837.2153198138785	-913.454179231324	-954.137863470622	-1002.0852426989045	-1066.4731079996848	-1163.918691717681	-1200.3375925403473	-1297.167463209277	-1404.5126440088227	-1281.3620094909902	-1859.7733472729124	-5678.509305606778	-8606.683074935092
63000	-821.406662398341	-823.8036483427354	-825.2565381028403	-831.120947046261	-843.2466442282526	-948.4707533967862	-988.2383258790255	-1034.7799849946857	-1087.7564983199875	-1156.2729318093047	-1201.2859187840768	-1285.944421461083	-1397.5967759373743	-1304.1054509650844	-1754.9544765940977	-5773.266043190518	-8769.383382581873
63000	-983.9607036190215	-990.9503260662283	-992.1172325328914	-1002.5695915980414	-1019.6962717107036	-1143.4293633410387	-1178.4862500570175	-1236.8129620927461	-1312.822558885231	-1395.5623391769766	-1457.6509225852317	-1584.3532663868177	-1734.1090176419311	-1569.2780070429305	-2148.4709833983284	-5936.556189555796	-8904.411284120983
63000	-1045.6676732065766	-1050.682679989912	-1051.132710432107	-1066.741166164521	-1074.4181392718497	-1206.8328062582918	-1280.9098310772652	-1315.3605893843715	-1377.2840552676462	-1510.3803806057924	-1579.2851879680154	-1697.8143566585543	-1840.6455923383035	-1727.0490993109127	-2251.3662345657276	-5927.013469177131	-8771.163042514756
63000	-867.2960212925323	-864.1688280126115	-865.7413604065807	-866.9515739528704	-870.7529943268993	-945.5299710480033	-979.3806221580373	-1029.008898628801	-1071.8438463242903	-1164.6024884118551	-1229.050157652948	-1353.8210923538047	-1454.0192529332933	-1340.8732511047892	-1904.844056706309	-5722.654970583233	-8556.557176464168
63000	-875.5490445625409	-875.825793982101	-880.4042538311327	-889.8325920864372	-890.2334290255149	-1024.695601292935	-1048.2398000444712	-1084.9819255985444	-1132.140830305152	-1201.828994290521	-1263.7208144972021	-1384.4260506501134	-1503.3921467908856	-1377.8782127826983	-1913.732229120944	-6040.038038851245	-9082.719719342753
63000	-1036.9334077810713	-1035.1884274220129	-1038.5509732007843	-1053.279466870188	-1056.4332372421848	-1179.6757118970793	-1242.2577773255389	-1296.4856727071192	-1336.3167840866276	-1468.7591754627729	-1541.5003630439433	-1680.6860790934993	-1801.9546558035595	-1631.4736785985833	-2346.1311482662313	-6486.1602721365825	-9375.935708506835
63000	-862.8255335269986	-864.3070292731047	-866.8863413736909	-870.5378503681204	-885.0988895740423	-984.2308992575438	-1038.4239903347643	-1073.3568926138519	-1120.4466667457712	-1237.0258398922435	-1288.9864081593423	-1352.7810086867778	-1442.2904393748747	-1346.9893971049057	-1796.0288833834047	-5679.664405816324	-8538.830291215816
63000	-874.7506712436117	-868.254597642047	-875.3696801983102	-881.3732990726971	-894.5102581332038	-965.9746762967986	-1006.6536844820912	-1069.406821672169	-1077.3885200708144	-1194.751396314813	-1250.880024124823	-1357.2634542061226	-1481.6449424521916	-1324.114760907034	-1944.559464824376	-6165.323974909819	-9126.544525155043
63000	-925.4501028351946	-925.8838193328147	-926.7544346075529	-943.7988054753635	-945.8851822616157	-1042.5873728702209	-1069.8696354906044	-1133.9344172867677	-1188.554577626196	-1312.7933024291142	-1393.643676625727	-1478.2747036441112	-1596.4145551394874	-1470.787672366209	-2047.1981630916687	-5808.6332612523565	-8704.438284020503
63000	-802.8943064905999	-804.9633954955748	-798.2643360042275	-801.9252580092863	-807.8636775043339	-870.4062029747816	-897.6886628859633	-965.83436123968	-997.274326602286	-1064.5019815675755	-1140.438486552879	-1240.4795813013507	-1368.652542123883	-1211.9286527635809	-1800.9244604194696	-5805.075150071324	-8905.123738971213
63000	-935.4802655059383	-938.2909900175305	-938.2277080844796	-949.6626984184572	-947.3203201253017	-1086.857515691026	-1142.7488874789165	-1209.3476148490004	-1262.0604803601063	-1376.917857630034	-1420.8802323629764	-1523.991881646241	-1629.7000752120928	-1533.8270807974702	-1969.5141893177909	-5579.95042725419	-8537.49811621987
63000	-836.4351726407014	-836.7515221651154	-838.7222690783946	-841.907207479075	-849.7684458823336	-938.9221423834987	-962.2642567399407	-1017.9821123390517	-1065.2908335350965	-1110.0449337280495	-1183.6625136852333	-1276.1783744349875	-1414.0288164551714	-1273.9765493771981	-1881.897248838692	-5908.684057153416	-8909.636040850928
63000	-881.9991944892702	-881.8065654722384	-884.4101632212877	-892.8330291061428	-897.4862443906062	-1018.3264286132527	-1033.3049988745283	-1103.983876192768	-1148.5336732610085	-1232.9678857363883	-1275.6094995342462	-1396.9733214839468	-1503.157735228316	-1368.451793449508	-1927.4118875787233	-5875.673218287257	-8830.625511161601
63000	-1037.8638553471972	-1038.7566831015797	-1044.993732901614	-1044.8653551551279	-1064.6680896620435	-1163.8562789291827	-1215.3320894280234	-1307.877835302079	-1332.539786075992	-1458.6233135978264	-1542.179948529208	-1701.6855829064193	-1838.2262535965256	-1685.4126965328437	-2313.1811934906177	-6307.8733470978295	-9259.611785443796
63000	-1009.3025649694657	-1011.4311122491727	-1015.5870689116449	-1029.9475130378485	-1035.2259475387405	-1147.4551618353935	-1210.80705274993	-1275.4085445216513	-1319.3449948775226	-1455.6703787741837	-1513.635483603963	-1624.1308782288445	-1744.6427964142774	-1591.3681378048798	-2257.687649388568	-6191.617201101979	-9176.364822382357
63000	-838.9147944894487	-841.1306710154012	-833.6632879096348	-855.6424274863425	-861.7619047090484	-973.3004903167531	-995.320897460816	-1022.0300491984701	-1074.2868638635262	-1173.936363401485	-1241.1424669708956	-1324.563049337857	-1413.3992848585478	-1321.4118125090502	-1766.2201667013767	-5454.11502940381	-8314.98689266414
63000	-819.2308925222088	-818.2898767143125	-823.7573360849838	-827.3897820836654	-829.3479589178864	-902.1018756500047	-947.214946352809	-1018.7100182739429	-1046.0532895124566	-1131.6605024104258	-1175.970922479878	-1266.8186943492867	-1359.3602901470097	-1253.1551109873712	-1747.4039434286021	-5520.401253683953	-8378.472489998065
63000	-870.4112529424907	-879.8304823381909	-870.4920871953624	-876.6685103114638	-880.858127045731	-979.7301432626087	-1001.376338060573	-1072.0511272291405	-1101.469875487314	-1214.7515498303555	-1269.4900843364671	-1356.2402688428303	-1469.0853681104786	-1317.9535522187064	-2005.9710940548102	-6074.237685035981	-9219.451033130044
63000	-786.3452093070957	-789.5019152942823	-790.0694095157394	-786.026390392932	-794.3935492912558	-886.0663028798812	-921.457381437093	-916.231506696227	-984.8423748032592	-1075.7527790918825	-1114.6587982201884	-1210.7225410184665	-1300.9402780535297	-1187.69459101093	-1704.3300571545365	-5605.056132142183	-8655.80693271228
63000	-905.8169986346828	-904.392351791691	-912.0915239388224	-916.078428451623	-924.9938980015953	-984.0046846916185	-1029.410393738727	-1095.9210374908955	-1149.496153665182	-1276.6371812017567	-1349.7622211831915	-1447.5158248369473	-1549.5231525722827	-1431.403584544992	-2002.3131194457922	-5776.652811269479	-8682.722719257266
63000	-949.8385931259121	-964.1443548954182	-962.0748512227938	-962.8079021731019	-983.8863935774397	-1092.1029697596346	-1161.4509812943907	-1213.0036703529854	-1256.4573825905688	-1359.8488655373576	-1419.7172343712841	-1529.0225604437996	-1654.4307752182895	-1508.5481412714953	-2099.3394974115545	-6126.620473379204	-9187.689002516947
63000	-895.7510387326523	-900.5715545516009	-902.8633869617499	-910.4494241258151	-922.5279346095232	-1068.5868218933251	-1066.1439947726647	-1152.940534356973	-1153.7380477160932	-1310.712281889773	-1346.4647555427896	-1386.926966140229	-1481.7484588634907	-1386.4392516715138	-1887.586524867264	-5476.914397275633	-8288.053055891825
63000	-895.9756340294364	-894.075684270741	-897.171283027073	-901.877624271277	-911.825248121118	-1011.7199931764135	-1064.833043729852	-1109.310654156859	-1112.2652521136276	-1202.8123499509188	-1264.5429902768528	-1402.9976486128337	-1512.7148979300746	-1398.749442960757	-1927.4918041597	-5412.775359772731	-8322.624638952539
